,Saison,Team,Wert
137,2015,Hertha BSC,72.88
138,2015,1.FSV Mainz 05,67.55
139,2015,FC Augsburg,62.5
140,2015,Werder Bremen,59.5
141,2015,1.FC Köln,52.05
142,2015,FC Ingolstadt,24.38
143,2015,Darmstadt 98,19.8
144,2016,Bayern München,595.4
145,2016,Bor. Dortmund,321.05
146,2016,Bay. Leverkusen,244.58
147,2016,FC Schalke 04,238.75
148,2016,VfL Wolfsburg,225.35
149,2016,Bor. M'gladbach,155.8
150,2016,Hamburger SV,94.98
151,2016,1.FSV Mainz 05,85.7
152,2016,1.FC Köln,77.4
153,2016,TSG Hoffenheim,76.55
154,2016,Hertha BSC,75.98
155,2016,Werder Bremen,75.08
156,2016,RB Leipzig,69.18
157,2016,FC Augsburg,69.0
158,2016,E. Frankfurt,66.1
159,2016,SC Freiburg,40.25
160,2016,FC Ingolstadt,36.68
161,2016,Darmstadt 98,32.83
162,2017,Bayern München,610.25
163,2017,Bor. Dortmund,449.23
164,2017,Bay. Leverkusen,225.4
165,2017,FC Schalke 04,205.2
166,2017,RB Leipzig,200.98
167,2017,VfL Wolfsburg,150.8
168,2017,Bor. M'gladbach,150.18
169,2017,TSG Hoffenheim,123.35
170,2017,1.FC Köln,120.7
171,2017,Hertha BSC,89.85
172,2017,E. Frankfurt,82.3
173,2017,Werder Bremen,78.43
174,2017,1.FSV Mainz 05,76.65
175,2017,VfB Stuttgart,73.88
176,2017,SC Freiburg,72.73
177,2017,Hamburger SV,70.08
178,2017,FC Augsburg,54.38
179,2017,Hannover 96,48.8
180,2018,Bayern München,807.8
181,2018,Bor. Dortmund,472.3
182,2018,Bay. Leverkusen,404.2
183,2018,RB Leipzig,330.0
184,2018,FC Schalke 04,266.9
185,2018,TSG Hoffenheim,246.45
186,2018,Bor. M'gladbach,235.6
187,2018,Hertha BSC,174.08
188,2018,E. Frankfurt,166.5
189,2018,VfB Stuttgart,165.3
190,2018,VfL Wolfsburg,156.25
191,2018,Werder Bremen,133.9
192,2018,FC Augsburg,113.0
193,2018,1.FSV Mainz 05,108.0
194,2018,Hannover 96,99.35
195,2018,SC Freiburg,88.15
196,2018,1.FC Nürnberg,49.93
197,2018,F. Düsseldorf,41.95
198,2008,1.FC Nürnberg,43.53
199,2008,1.FSV Mainz 05,26.65
200,2008,MSV Duisburg,25.0
201,2008,1860 München,21.1
202,2008,SC Freiburg,20.9
203,2008,Hansa Rostock,19.8
204,2008,1.FC K'lautern,18.75
205,2008,FC Augsburg,18.45
206,2008,Greuther Fürth,16.55
207,2008,Alem. Aachen,16.38
208,2008,Wehen Wiesbaden,14.2
209,2008,TuS Koblenz,13.53
210,2008,VfL Osnabrück,13.03
211,2008,FC St. Pauli,12.23
212,2008,FSV Frankfurt,9.33
213,2008,FC Ingolstadt,6.05
214,2008,Rot Weiss Ahlen,5.98
215,2008,RW Oberhausen,5.73
216,2009,Arm. Bielefeld,27.38
217,2009,MSV Duisburg,25.1
218,2009,1.FC K'lautern,23.9
219,2009,Energie Cottbus,21.8
220,2009,1860 München,21.7
221,2009,FC Augsburg,21.33
222,2009,Karlsruher SC,21.1
223,2009,Hansa Rostock,20.63
224,2009,Alem. Aachen,20.15
225,2009,TuS Koblenz,18.0
226,2009,Greuther Fürth,17.05
227,2009,FC St. Pauli,15.75
228,2009,FSV Frankfurt,13.1
229,2009,Rot Weiss Ahlen,12.93
230,2009,F. Düsseldorf,11.65
231,2009,SC Paderborn,9.58
232,2009,Union Berlin,9.48
233,2009,RW Oberhausen,8.85
234,2010,VfL Bochum,32.2
235,2010,Hertha BSC,30.8
236,2010,FC Augsburg,25.1
237,2010,Greuther Fürth,23.33
238,2010,Arm. Bielefeld,21.05
239,2010,1860 München,20.93
240,2010,F. Düsseldorf,19.6
241,2010,Karlsruher SC,18.93
242,2010,Alem. Aachen,16.83
243,2010,Energie Cottbus,15.88
244,2010,MSV Duisburg,15.8
245,2010,Union Berlin,13.5
246,2010,FC Ingolstadt,13.0
247,2010,RW Oberhausen,11.65
248,2010,FSV Frankfurt,11.5
249,2010,SC Paderborn,11.43
250,2010,VfL Osnabrück,10.55
251,2010,Erzgebirge Aue,10.08
252,2011,E. Frankfurt,51.4
253,2011,FC St. Pauli,25.6
254,2011,Energie Cottbus,22.55
255,2011,VfL Bochum,21.33
256,2011,F. Düsseldorf,20.08
257,2011,Greuther Fürth,19.58
258,2011,1860 München,19.5
259,2011,Alem. Aachen,19.4
260,2011,FC Ingolstadt,18.25
261,2011,MSV Duisburg,17.93
262,2011,Karlsruher SC,16.7
263,2011,Dynamo Dresden,16.55
264,2011,FSV Frankfurt,14.85
265,2011,Erzgebirge Aue,14.0
266,2011,Hansa Rostock,11.95
267,2011,Union Berlin,10.8
268,2011,SC Paderborn,10.68
269,2011,E. Braunschweig,8.18
270,2012,Hertha BSC,38.58
